iter	Logloss
0	0.6700410954
1	0.6574767392
2	0.636238805
3	0.6167232189
4	0.5972965851
5	0.5835878675
6	0.5716145806
7	0.5686012266
8	0.5573036301
9	0.5493962308
10	0.5441667484
11	0.5314355311
12	0.5232691106
13	0.5119693062
14	0.5038403994
15	0.4971676797
16	0.4903491142
17	0.4845323473
18	0.4761543664
19	0.4684330631
20	0.4614327282
21	0.4531630129
22	0.4475288044
23	0.4443410568
24	0.4377944073
25	0.4294549604
26	0.4231945076
27	0.4164961243
28	0.4110832049
29	0.4072230093
30	0.4010994002
31	0.3973353877
32	0.3935200558
33	0.3894125002
34	0.3843962818
35	0.379627876
36	0.3766440647
37	0.3715421952
38	0.3680703833
39	0.3657321488
40	0.363391036
41	0.3585429816
42	0.3559486343
43	0.3518908961
44	0.3479961483
45	0.3459466133
46	0.3419776532
47	0.3386500997
48	0.3359397028
49	0.3320838412
50	0.3275974086
51	0.3241374997
52	0.3213994093
53	0.3197746972
54	0.31652928
55	0.3138304076
56	0.3119898363
57	0.3098320015
58	0.3075962738
59	0.304930126
60	0.3021208734
61	0.299942629
62	0.2977087054
63	0.2948548276
64	0.2932395817
65	0.2912359969
66	0.2896830537
67	0.2894924049
68	0.2867790875
69	0.2851732459
70	0.283101859
71	0.2809909361
72	0.2780613128
73	0.2766724863
74	0.2752694846
75	0.2745004788
76	0.2737226371
77	0.2727843919
78	0.2715200221
79	0.2688456386
80	0.2678135577
81	0.2659003566
82	0.2657128285
83	0.2610312638
84	0.2601337062
85	0.2582965474
86	0.2567874133
87	0.2551098583
88	0.2535576927
89	0.2523123138
90	0.2507121553
91	0.2490264617
92	0.2474805025
93	0.2458436244
94	0.2433365289
95	0.2423763168
96	0.2410706522
97	0.2396604813
98	0.2372218582
99	0.2358694156
100	0.2350691251
101	0.2340188018
102	0.2332283784
103	0.233135323
104	0.2317312398
105	0.2306528473
106	0.2293894558
107	0.2284781272
108	0.2273546731
109	0.2263312163
110	0.2257110761
111	0.2244365019
112	0.2231694938
113	0.2223914789
114	0.2210709176
115	0.2196926612
116	0.2195234757
117	0.2187705802
118	0.2173300493
119	0.2166054804
120	0.2159083574
121	0.2148959822
122	0.2140066485
123	0.2131915996
124	0.2125393138
125	0.2116439035
126	0.2107048755
127	0.208947213
128	0.2078361857
129	0.2073546266
130	0.2062166596
131	0.2051172048
132	0.2029021074
133	0.2017025306
134	0.2004821913
135	0.2002472574
136	0.1996687186
137	0.1989063774
138	0.1973922319
139	0.1959810951
140	0.1950999789
141	0.1940832534
142	0.1934926813
143	0.1920812201
