iter	Passed	Remaining
0	191	57320
1	255	38069
2	321	31841
3	385	28555
4	455	26878
5	521	25547
6	582	24397
7	616	22515
8	683	22104
9	754	21874
10	818	21517
11	885	21253
12	952	21036
13	1017	20794
14	1082	20568
15	1136	20175
16	1203	20037
17	1268	19865
18	1332	19713
19	1396	19547
20	1459	19391
21	1517	19180
22	1586	19104
23	1652	19009
24	1718	18903
25	1782	18788
26	1846	18669
27	1911	18568
28	1975	18464
29	2036	18328
30	2101	18239
31	2167	18154
32	2234	18082
33	2298	17978
34	2367	17924
35	2431	17833
36	2495	17738
37	2561	17658
38	2622	17551
39	2687	17469
40	2753	17395
41	2817	17307
42	2883	17233
43	2937	17090
44	2997	16983
45	3055	16870
46	3121	16804
47	3182	16709
48	3244	16621
49	3304	16521
50	3356	16386
51	3410	16267
52	3476	16199
53	3529	16080
54	3568	15896
55	3610	15731
56	3661	15611
57	3717	15510
58	3779	15438
59	3831	15325
60	3890	15242
61	3948	15156
62	4012	15093
63	4081	15051
64	4149	15003
65	4214	14942
66	4282	14893
67	4310	14704
68	4380	14666
69	4453	14632
70	4525	14595
71	4596	14555
72	4674	14535
73	4748	14503
74	4821	14463
75	4891	14418
76	4962	14372
77	5035	14330
78	5112	14300
79	5184	14257
80	5256	14211
81	5330	14172
82	5368	14035
83	5440	13989
84	5513	13944
85	5585	13898
86	5666	13872
87	5737	13821
88	5811	13777
89	5885	13731
90	5959	13687
91	6033	13640
92	6114	13610
93	6186	13558
94	6267	13523
95	6341	13474
96	6414	13424
97	6484	13366
98	6558	13315
99	6629	13259
100	6702	13205
101	6774	13149
102	6846	13094
103	6873	12954
104	6942	12893
105	7014	12837
106	7087	12784
107	7163	12735
108	7233	12674
109	7305	12618
110	7377	12561
111	7450	12506
112	7523	12449
113	7595	12392
114	7672	12343
115	7746	12287
116	7781	12171
117	7851	12109
118	7923	12051
119	7996	11995
120	8072	11941
121	8145	11883
122	8216	11824
123	8285	11760
124	8358	11702
125	8430	11642
126	8502	11582
127	8579	11529
128	8653	11470
129	8726	11411
130	8797	11349
131	8873	11292
132	8943	11230
133	9015	11168
134	9086	11105
135	9138	11019
136	9209	10957
137	9280	10894
138	9353	10834
139	9424	10771
140	9499	10712
141	9572	10651
142	9651	10596
143	9722	10532
